step,energy,std,acceptance,global_acceptance,step_size,loss
1,1.305856466293335,2.4945638179779053,0.875,0.9375,0.041710564701419345,1.708357810974121
2,1.3156248331069946,2.769294261932373,0.875,0.9166666666666666,0.04248231333329096,1.6228065490722656
3,1.6765238046646118,3.253051996231079,0.875,0.875,0.043178288083424415,1.5002212524414062
4,1.96730375289917,3.7170238494873047,0.875,0.875,0.04388566477509112,2.0370559692382812
